Synonym1	ID1	Type1	Synonym2	ID2	Type2	Source
Not needed	78030	gene product	Not needed	31031	metabolite	database
Not needed	78031	gene product	Not needed	32040	metabolite	database
Not needed	78031	gene product	Not needed	27842	metabolite	database
Not needed	78031	gene product	Not needed	29916	metabolite	database
Not needed	78036	gene product	Not needed	31031	metabolite	database
Not needed	78037	gene product	Not needed	29916	metabolite	database
Not needed	78037	gene product	Not needed	31006	metabolite	database
Not needed	78037	gene product	Not needed	31031	metabolite	database
Not needed	78038	gene product	Not needed	31004	metabolite	database
Not needed	78038	gene product	Not needed	31005	metabolite	database
Not needed	78040	gene product	Not needed	31033	metabolite	database
Not needed	78040	gene product	Not needed	31007	metabolite	database
Not needed	78040	gene product	Not needed	31006	metabolite	database
Not needed	78043	gene product	Not needed	32040	metabolite	database
Not needed	78046	gene product	Not needed	29902	metabolite	database
Not needed	78047	gene product	Not needed	31031	metabolite	database
Not needed	78048	gene product	Not needed	29902	metabolite	database
Not needed	78052	gene product	Not needed	29371	metabolite	database
Not needed	35866	metabolite	Not needed	31006	metabolite	database
Not needed	78057	gene product	Not needed	31031	metabolite	database
Not needed	78062	gene product	Not needed	29916	metabolite	database
Not needed	78062	gene product	Not needed	31033	metabolite	database
Not needed	78064	gene product	Not needed	29916	metabolite	database
Not needed	78070	gene product	Not needed	31031	metabolite	database
Not needed	78075	gene product	Not needed	32040	metabolite	database
Not needed	78075	gene product	Not needed	29902	metabolite	database
Not needed	78078	gene product	Not needed	31006	metabolite	database
Not needed	78080	gene product	Not needed	29916	metabolite	database
Not needed	78080	gene product	Not needed	31031	metabolite	database
Not needed	78082	gene product	Not needed	29916	metabolite	database
Not needed	78086	gene product	Not needed	29916	metabolite	database
Not needed	40661	metabolite	Not needed	31033	metabolite	database
Not needed	40661	metabolite	Not needed	31031	metabolite	database
Not needed	40661	metabolite	Not needed	31006	metabolite	database
Not needed	78091	gene product	Not needed	29916	metabolite	database
Not needed	78091	gene product	Not needed	31006	metabolite	database
Not needed	78094	gene product	Not needed	29916	metabolite	database
Not needed	78096	gene product	Not needed	29916	metabolite	database
Not needed	78096	gene product	Not needed	32040	metabolite	database
Not needed	78097	gene product	Not needed	31033	metabolite	database
Not needed	78102	gene product	Not needed	31033	metabolite	database
Not needed	78103	gene product	Not needed	31031	metabolite	database
Not needed	78104	gene product	Not needed	31007	metabolite	database
Not needed	78111	gene product	Not needed	32040	metabolite	database
Not needed	78117	gene product	Not needed	29916	metabolite	database
Not needed	78118	gene product	Not needed	29377	metabolite	database
Not needed	78124	gene product	Not needed	29916	metabolite	database
Not needed	78125	gene product	Not needed	29916	metabolite	database
Not needed	78132	gene product	Not needed	31031	metabolite	database
Not needed	78135	gene product	Not needed	31031	metabolite	database
Not needed	78140	gene product	Not needed	29916	metabolite	database
Not needed	78144	gene product	Not needed	2437	lipid	database
Not needed	78145	gene product	Not needed	29916	metabolite	database
Not needed	78145	gene product	Not needed	32040	metabolite	database
Not needed	78146	gene product	Not needed	29916	metabolite	database
Not needed	78147	gene product	Not needed	42506	metabolite	database
Not needed	78153	gene product	Not needed	31031	metabolite	database
Not needed	28148	metabolite	Not needed	28425	metabolite	database
Not needed	28148	metabolite	Not needed	29371	metabolite	database
Not needed	78159	gene product	Not needed	31031	metabolite	database
Not needed	78161	gene product	Not needed	29916	metabolite	database
Not needed	78165	gene product	Not needed	28425	metabolite	database
Not needed	78171	gene product	Not needed	31031	metabolite	database
Not needed	78172	gene product	Not needed	29377	metabolite	database
Not needed	78172	gene product	Not needed	29916	metabolite	database
Not needed	78172	gene product	Not needed	31006	metabolite	database
Not needed	78178	gene product	Not needed	31031	metabolite	database
Not needed	78179	gene product	Not needed	31031	metabolite	database
Not needed	78180	gene product	Not needed	29916	metabolite	database
Not needed	78180	gene product	Not needed	31006	metabolite	database
Not needed	78180	gene product	Not needed	31033	metabolite	database
Not needed	78185	gene product	Not needed	30938	metabolite	database
Not needed	78185	gene product	Not needed	31030	metabolite	database
Not needed	78039	gene product	Not needed	29916	metabolite	database
Not needed	78188	gene product	Not needed	29916	metabolite	database
Not needed	78189	gene product	Not needed	29916	metabolite	database
Not needed	78189	gene product	Not needed	31031	metabolite	database
Not needed	78190	gene product	Not needed	29902	metabolite	database
Not needed	78192	gene product	Not needed	32040	metabolite	database
Not needed	78192	gene product	Not needed	27842	metabolite	database
Not needed	78195	gene product	Not needed	31033	metabolite	database
Not needed	78196	gene product	Not needed	28425	metabolite	database
Not needed	78198	gene product	Not needed	29916	metabolite	database
Not needed	78202	gene product	Not needed	31033	metabolite	database
Not needed	78204	gene product	Not needed	29916	metabolite	database
Not needed	78205	gene product	Not needed	31031	metabolite	database
Not needed	78207	gene product	Not needed	29902	metabolite	database
Not needed	78208	gene product	Not needed	29916	metabolite	database
Not needed	78209	gene product	Not needed	29377	metabolite	database
Not needed	78211	gene product	Not needed	31004	metabolite	database
Not needed	78211	gene product	Not needed	28622	metabolite	database
Not needed	78212	gene product	Not needed	29916	metabolite	database
Not needed	78217	gene product	Not needed	31006	metabolite	database
Not needed	78220	gene product	Not needed	29916	metabolite	database
Not needed	78223	gene product	Not needed	31031	metabolite	database
Not needed	78227	gene product	Not needed	27617	metabolite	database
Not needed	78005	gene product	Not needed	31033	metabolite	database
Not needed	78236	gene product	Not needed	29916	metabolite	database
Not needed	78236	gene product	Not needed	31006	metabolite	database
Not needed	78239	gene product	Not needed	29377	metabolite	database
Not needed	78239	gene product	Not needed	28425	metabolite	database
Not needed	78241	gene product	Not needed	29916	metabolite	database
Not needed	78244	gene product	Not needed	29916	metabolite	database
Not needed	78247	gene product	Not needed	31006	metabolite	database
Not needed	78260	gene product	Not needed	29371	metabolite	database
Not needed	78261	gene product	Not needed	31033	metabolite	database
Not needed	78261	gene product	Not needed	31006	metabolite	database
Not needed	78263	gene product	Not needed	31006	metabolite	database
Not needed	78263	gene product	Not needed	31004	metabolite	database
Not needed	78263	gene product	Not needed	28622	metabolite	database
Not needed	78263	gene product	Not needed	32015	metabolite	database
Not needed	78263	gene product	Not needed	28148	metabolite	database
Not needed	78264	gene product	Not needed	29371	metabolite	database
Not needed	78265	gene product	Not needed	28148	metabolite	database
Not needed	78271	gene product	Not needed	31006	metabolite	database
Not needed	78271	gene product	Not needed	31004	metabolite	database
Not needed	78271	gene product	Not needed	31031	metabolite	database
Not needed	78276	gene product	Not needed	31031	metabolite	database
Not needed	36137	metabolite	Not needed	29916	metabolite	database
Not needed	29506	metabolite	Not needed	32015	metabolite	database
Not needed	78279	gene product	Not needed	31006	metabolite	database
Not needed	78279	gene product	Not needed	29916	metabolite	database
Not needed	78282	gene product	Not needed	29916	metabolite	database
Not needed	78287	gene product	Not needed	28470	metabolite	database
Not needed	78287	gene product	Not needed	32040	metabolite	database
Not needed	78288	gene product	Not needed	31006	metabolite	database
Not needed	74492	metabolite	Not needed	31006	metabolite	database
Not needed	29506	metabolite	Not needed	31031	metabolite	database
Not needed	78295	gene product	Not needed	31031	metabolite	database
Not needed	78297	gene product	Not needed	27617	metabolite	database
Not needed	78298	gene product	Not needed	31033	metabolite	database
Not needed	78298	gene product	Not needed	31031	metabolite	database
Not needed	78300	gene product	Not needed	31031	metabolite	database
Not needed	78305	gene product	Not needed	28230	metabolite	database
Not needed	78306	gene product	Not needed	32040	metabolite	database
Not needed	78309	gene product	Not needed	29377	metabolite	database
Not needed	78310	gene product	Not needed	31031	metabolite	database
Not needed	78315	gene product	Not needed	29902	metabolite	database
