Synonym1	ID1	Type1	Synonym2	ID2	Type2	Source
Not needed	78290	gene product	Not needed	79177	gene product	database
Not needed	78299	gene product	Not needed	78351	gene product	database
Not needed	78307	gene product	Not needed	81968	gene product	database
Not needed	78307	gene product	Not needed	79896	gene product	database
Not needed	78307	gene product	Not needed	81084	gene product	database
Not needed	78307	gene product	Not needed	79181	gene product	database
Not needed	78307	gene product	Not needed	79266	gene product	database
Not needed	78307	gene product	Not needed	78694	gene product	database
Not needed	78307	gene product	Not needed	80565	gene product	database
Not needed	78307	gene product	Not needed	78757	gene product	database
Not needed	78312	gene product	Not needed	78756	gene product	database
Not needed	78312	gene product	Not needed	78410	gene product	database
Not needed	78313	gene product	Not needed	80618	gene product	database
Not needed	78313	gene product	Not needed	80756	gene product	database
Not needed	78313	gene product	Not needed	78106	gene product	database
Not needed	78317	gene product	Not needed	79130	gene product	database
Not needed	78318	gene product	Not needed	78028	gene product	database
Not needed	78318	gene product	Not needed	78821	gene product	database
Not needed	621	lipid	Not needed	79064	gene product	database
Not needed	78326	gene product	Not needed	79089	gene product	database
Not needed	78329	gene product	Not needed	80454	gene product	database
Not needed	78329	gene product	Not needed	78373	gene product	database
Not needed	78329	gene product	Not needed	78580	gene product	database
Not needed	73656	metabolite	Not needed	84286	gene product	database
Not needed	73656	metabolite	Not needed	79033	gene product	database
Not needed	73656	metabolite	Not needed	82715	gene product	database
Not needed	73656	metabolite	Not needed	85057	gene product	database
Not needed	73656	metabolite	Not needed	80504	gene product	database
Not needed	73656	metabolite	Not needed	81170	gene product	database
Not needed	73656	metabolite	Not needed	78694	gene product	database
Not needed	73656	metabolite	Not needed	79205	gene product	database
Not needed	73656	metabolite	Not needed	78334	gene product	database
Not needed	78323	gene product	Not needed	79032	gene product	database
Not needed	78323	gene product	Not needed	78694	gene product	database
Not needed	78028	gene product	Not needed	78021	gene product	database
Not needed	78337	gene product	Not needed	78028	gene product	database
Not needed	78340	gene product	Not needed	78694	gene product	database
Not needed	78343	gene product	Not needed	79076	gene product	database
Not needed	78344	gene product	Not needed	78028	gene product	database
Not needed	78349	gene product	Not needed	78581	gene product	database
Not needed	78352	gene product	Not needed	78516	gene product	database
Not needed	78288	gene product	Not needed	78866	gene product	database
Not needed	78360	gene product	Not needed	41693	metabolite	database
Not needed	78362	gene product	Not needed	78877	gene product	database
Not needed	78362	gene product	Not needed	79796	gene product	database
Not needed	78362	gene product	Not needed	80841	gene product	database
Not needed	78362	gene product	Not needed	80325	gene product	database
Not needed	78362	gene product	Not needed	80329	gene product	database
Not needed	78362	gene product	Not needed	80893	gene product	database
Not needed	78362	gene product	Not needed	78971	gene product	database
Not needed	78364	gene product	Not needed	79878	gene product	database
Not needed	78365	gene product	Not needed	78063	gene product	database
Not needed	78369	gene product	Not needed	78962	gene product	database
Not needed	78373	gene product	Not needed	82324	gene product	database
Not needed	78373	gene product	Not needed	79234	gene product	database
Not needed	78228	gene product	Not needed	80105	gene product	database
Not needed	78376	gene product	Not needed	78542	gene product	database
Not needed	78360	gene product	Not needed	79906	gene product	database
Not needed	78360	gene product	Not needed	79638	gene product	database
Not needed	78360	gene product	Not needed	79838	gene product	database
Not needed	78360	gene product	Not needed	78639	gene product	database
Not needed	78383	gene product	Not needed	78763	gene product	database
Not needed	78383	gene product	Not needed	79142	gene product	database
Not needed	78383	gene product	Not needed	78884	gene product	database
Not needed	78389	gene product	Not needed	78610	gene product	database
Not needed	78392	gene product	Not needed	78811	gene product	database
Not needed	78399	gene product	Not needed	78814	gene product	database
Not needed	78399	gene product	Not needed	78793	gene product	database
Not needed	78399	gene product	Not needed	78639	gene product	database
Not needed	57704	metabolite	Not needed	79019	gene product	database
Not needed	78403	gene product	Not needed	79298	gene product	database
Not needed	78284	gene product	Not needed	79253	gene product	database
Not needed	78284	gene product	Not needed	81791	gene product	database
Not needed	78284	gene product	Not needed	78106	gene product	database
Not needed	78284	gene product	Not needed	82437	gene product	database
Not needed	78284	gene product	Not needed	78884	gene product	database
Not needed	78284	gene product	Not needed	79043	gene product	database
Not needed	78284	gene product	Not needed	30925	metabolite	database
Not needed	78284	gene product	Not needed	78179	gene product	database
Not needed	78284	gene product	Not needed	78028	gene product	database
Not needed	78284	gene product	Not needed	79884	gene product	database
Not needed	78410	gene product	Not needed	79298	gene product	database
Not needed	78420	gene product	Not needed	79024	gene product	database
Not needed	78421	gene product	Not needed	79786	gene product	database
Not needed	78424	gene product	Not needed	79777	gene product	database
Not needed	78424	gene product	Not needed	73656	metabolite	database
Not needed	78424	gene product	Not needed	78506	gene product	database
Not needed	78424	gene product	Not needed	79024	gene product	database
Not needed	78028	gene product	Not needed	78446	gene product	database
Not needed	78028	gene product	Not needed	78703	gene product	database
Not needed	78433	gene product	Not needed	78756	gene product	database
Not needed	78435	gene product	Not needed	78712	gene product	database
Not needed	78435	gene product	Not needed	79777	gene product	database
Not needed	78438	gene product	Not needed	78839	gene product	database
Not needed	78446	gene product	Not needed	78703	gene product	database
Not needed	78446	gene product	Not needed	78669	gene product	database
Not needed	78450	gene product	Not needed	78546	gene product	database
Not needed	78450	gene product	Not needed	78542	gene product	database
Not needed	78450	gene product	Not needed	78834	gene product	database
Not needed	78450	gene product	Not needed	79115	gene product	database
Not needed	78458	gene product	Not needed	80646	gene product	database
Not needed	76795	metabolite	Not needed	79310	gene product	database
Not needed	76795	metabolite	Not needed	80582	gene product	database
Not needed	76795	metabolite	Not needed	79475	gene product	database
Not needed	76795	metabolite	Not needed	79116	gene product	database
Not needed	78465	gene product	Not needed	79007	gene product	database
Not needed	78467	gene product	Not needed	78607	gene product	database
Not needed	78468	gene product	Not needed	81988	gene product	database
Not needed	78474	gene product	Not needed	78106	gene product	database
Not needed	78477	gene product	Not needed	78515	gene product	database
Not needed	78479	gene product	Not needed	73656	metabolite	database
Not needed	78028	gene product	Not needed	78039	gene product	database
Not needed	78028	gene product	Not needed	82715	gene product	database
Not needed	78028	gene product	Not needed	79901	gene product	database
Not needed	30925	metabolite	Not needed	78521	gene product	database
Not needed	78490	gene product	Not needed	79680	gene product	database
Not needed	78344	gene product	Not needed	79906	gene product	database
Not needed	78494	gene product	Not needed	78556	gene product	database
Not needed	78497	gene product	Not needed	79067	gene product	database
Not needed	78498	gene product	Not needed	78201	gene product	database
Not needed	78506	gene product	Not needed	79024	gene product	database
Not needed	78506	gene product	Not needed	78511	gene product	database
Not needed	78510	gene product	Not needed	78511	gene product	database
Not needed	78510	gene product	Not needed	78424	gene product	database
Not needed	78510	gene product	Not needed	73656	metabolite	database
Not needed	78510	gene product	Not needed	78506	gene product	database
Not needed	78516	gene product	Not needed	79302	gene product	database
Not needed	78516	gene product	Not needed	82486	gene product	database
Not needed	78516	gene product	Not needed	79039	gene product	database
Not needed	78525	gene product	Not needed	81134	gene product	database
Not needed	78527	gene product	Not needed	81454	gene product	database
Not needed	78527	gene product	Not needed	83375	gene product	database
Not needed	78527	gene product	Not needed	80618	gene product	database
Not needed	78527	gene product	Not needed	78987	gene product	database
Not needed	78527	gene product	Not needed	30925	metabolite	database
Not needed	78063	gene product	Not needed	79884	gene product	database
Not needed	78528	gene product	Not needed	79108	gene product	database
Not needed	78532	gene product	Not needed	79129	gene product	database
Not needed	78535	gene product	Not needed	78703	gene product	database
Not needed	78535	gene product	Not needed	78694	gene product	database
Not needed	78535	gene product	Not needed	78821	gene product	database
Not needed	78542	gene product	Not needed	78546	gene product	database
Not needed	78545	gene product	Not needed	80549	gene product	database
Not needed	78553	gene product	Not needed	78433	gene product	database
Not needed	78553	gene product	Not needed	78669	gene product	database
Not needed	73656	metabolite	Not needed	78717	gene product	database
Not needed	78563	gene product	Not needed	78665	gene product	database
Not needed	73656	metabolite	Not needed	79024	gene product	database
Not needed	78568	gene product	Not needed	84202	gene product	database
Not needed	78433	gene product	Not needed	80131	gene product	database
Not needed	78571	gene product	Not needed	80454	gene product	database
Not needed	78571	gene product	Not needed	79809	gene product	database
Not needed	78571	gene product	Not needed	79426	gene product	database
Not needed	30925	metabolite	Not needed	78866	gene product	database
Not needed	78577	gene product	Not needed	73656	metabolite	database
Not needed	78021	gene product	Not needed	79124	gene product	database
Not needed	78580	gene product	Not needed	83741	gene product	database
Not needed	78580	gene product	Not needed	78018	gene product	database
Not needed	78582	gene product	Not needed	80582	gene product	database
Not needed	78582	gene product	Not needed	30925	metabolite	database
Not needed	78582	gene product	Not needed	78198	gene product	database
Not needed	78582	gene product	Not needed	79039	gene product	database
Not needed	78582	gene product	Not needed	79038	gene product	database
Not needed	78594	gene product	Not needed	81232	gene product	database
Not needed	78605	gene product	Not needed	79316	gene product	database
Not needed	78605	gene product	Not needed	79278	gene product	database
Not needed	78607	gene product	Not needed	78614	gene product	database
Not needed	78612	gene product	Not needed	81666	gene product	database
Not needed	78614	gene product	Not needed	78028	gene product	database
Not needed	78616	gene product	Not needed	79698	gene product	database
Not needed	78624	gene product	Not needed	79161	gene product	database
Not needed	78624	gene product	Not needed	78028	gene product	database
Not needed	78635	gene product	Not needed	78179	gene product	database
Not needed	30925	metabolite	Not needed	81131	gene product	database
Not needed	78658	gene product	Not needed	79555	gene product	database
Not needed	78665	gene product	Not needed	78816	gene product	database
Not needed	73656	metabolite	Not needed	78028	gene product	database
Not needed	78682	gene product	Not needed	78896	gene product	database
Not needed	78682	gene product	Not needed	78935	gene product	database
Not needed	78683	gene product	Not needed	80381	gene product	database
Not needed	78683	gene product	Not needed	79113	gene product	database
Not needed	78688	gene product	Not needed	80324	gene product	database
Not needed	78234	gene product	Not needed	80118	gene product	database
Not needed	78694	gene product	Not needed	78763	gene product	database
Not needed	78694	gene product	Not needed	79175	gene product	database
Not needed	78694	gene product	Not needed	80773	gene product	database
Not needed	78694	gene product	Not needed	78757	gene product	database
Not needed	78694	gene product	Not needed	80866	gene product	database
Not needed	78698	gene product	Not needed	78063	gene product	database
Not needed	78698	gene product	Not needed	78786	gene product	database
Not needed	78703	gene product	Not needed	81749	gene product	database
Not needed	78703	gene product	Not needed	80915	gene product	database
Not needed	78703	gene product	Not needed	78756	gene product	database
Not needed	78703	gene product	Not needed	78829	gene product	database
Not needed	78703	gene product	Not needed	80249	gene product	database
Not needed	78703	gene product	Not needed	80541	gene product	database
Not needed	78703	gene product	Not needed	78097	gene product	database
Not needed	78709	gene product	Not needed	78367	gene product	database
Not needed	78709	gene product	Not needed	78635	gene product	database
Not needed	78709	gene product	Not needed	81272	gene product	database
Not needed	78709	gene product	Not needed	81173	gene product	database
Not needed	78709	gene product	Not needed	81733	gene product	database
Not needed	78712	gene product	Not needed	79777	gene product	database
Not needed	78712	gene product	Not needed	80606	gene product	database
Not needed	78713	gene product	Not needed	80736	gene product	database
Not needed	78713	gene product	Not needed	80238	gene product	database
Not needed	78713	gene product	Not needed	80190	gene product	database
Not needed	78713	gene product	Not needed	79951	gene product	database
Not needed	78713	gene product	Not needed	79039	gene product	database
Not needed	78717	gene product	Not needed	78819	gene product	database
Not needed	78719	gene product	Not needed	78876	gene product	database
Not needed	78028	gene product	Not needed	79293	gene product	database
Not needed	78748	gene product	Not needed	78814	gene product	database
Not needed	78755	gene product	Not needed	79130	gene product	database
Not needed	78756	gene product	Not needed	79298	gene product	database
Not needed	78766	gene product	Not needed	79723	gene product	database
Not needed	78768	gene product	Not needed	79319	gene product	database
Not needed	78776	gene product	Not needed	79661	gene product	database
Not needed	78367	gene product	Not needed	79166	gene product	database
Not needed	78367	gene product	Not needed	79116	gene product	database
Not needed	78780	gene product	Not needed	83061	gene product	database
Not needed	78781	gene product	Not needed	83061	gene product	database
Not needed	78781	gene product	Not needed	78106	gene product	database
Not needed	78786	gene product	Not needed	79175	gene product	database
Not needed	78792	gene product	Not needed	82302	gene product	database
Not needed	78793	gene product	Not needed	78814	gene product	database
Not needed	78797	gene product	Not needed	79050	gene product	database
Not needed	78806	gene product	Not needed	78108	gene product	database
Not needed	78811	gene product	Not needed	79988	gene product	database
Not needed	78811	gene product	Not needed	78427	gene product	database
Not needed	78813	gene product	Not needed	79430	gene product	database
Not needed	30925	metabolite	Not needed	80940	gene product	database
Not needed	78818	gene product	Not needed	79005	gene product	database
Not needed	78829	gene product	Not needed	78821	gene product	database
Not needed	78830	gene product	Not needed	79116	gene product	database
Not needed	78830	gene product	Not needed	80549	gene product	database
Not needed	78845	gene product	Not needed	78857	gene product	database
Not needed	78845	gene product	Not needed	78993	gene product	database
Not needed	30925	metabolite	Not needed	79038	gene product	database
Not needed	78849	gene product	Not needed	81173	gene product	database
Not needed	78849	gene product	Not needed	80659	gene product	database
Not needed	78857	gene product	Not needed	80866	gene product	database
Not needed	78857	gene product	Not needed	78993	gene product	database
Not needed	78857	gene product	Not needed	79031	gene product	database
Not needed	78857	gene product	Not needed	81666	gene product	database
Not needed	78861	gene product	Not needed	78028	gene product	database
Not needed	78862	gene product	Not needed	79161	gene product	database
Not needed	78866	gene product	Not needed	81027	gene product	database
Not needed	78866	gene product	Not needed	79032	gene product	database
Not needed	78869	gene product	Not needed	30925	metabolite	database
Not needed	78870	gene product	Not needed	79295	gene product	database
Not needed	78872	gene product	Not needed	78028	gene product	database
Not needed	78884	gene product	Not needed	80866	gene product	database
Not needed	78884	gene product	Not needed	83657	gene product	database
Not needed	78884	gene product	Not needed	83426	gene product	database
Not needed	78884	gene product	Not needed	78021	gene product	database
Not needed	78896	gene product	Not needed	78935	gene product	database
Not needed	78896	gene product	Not needed	78138	gene product	database
Not needed	78897	gene product	Not needed	81058	gene product	database
Not needed	78897	gene product	Not needed	79087	gene product	database
Not needed	78902	gene product	Not needed	79288	gene product	database
Not needed	78907	gene product	Not needed	79562	gene product	database
Not needed	78907	gene product	Not needed	79914	gene product	database
Not needed	78028	gene product	Not needed	79679	gene product	database
Not needed	78926	gene product	Not needed	78993	gene product	database
Not needed	78934	gene product	Not needed	81064	gene product	database
Not needed	78993	gene product	Not needed	79673	gene product	database
Not needed	78993	gene product	Not needed	79031	gene product	database
Not needed	78993	gene product	Not needed	79106	gene product	database
Not needed	78993	gene product	Not needed	79829	gene product	database
Not needed	78993	gene product	Not needed	80866	gene product	database
Not needed	78077	gene product	Not needed	79173	gene product	database
Not needed	78077	gene product	Not needed	80454	gene product	database
Not needed	78997	gene product	Not needed	80618	gene product	database
Not needed	78999	gene product	Not needed	78165	gene product	database
Not needed	79005	gene product	Not needed	80618	gene product	database
Not needed	79013	gene product	Not needed	79901	gene product	database
Not needed	79013	gene product	Not needed	621	lipid	database
Not needed	79031	gene product	Not needed	79829	gene product	database
Not needed	79031	gene product	Not needed	80866	gene product	database
Not needed	79032	gene product	Not needed	79884	gene product	database
Not needed	79032	gene product	Not needed	80205	gene product	database
Not needed	79037	gene product	Not needed	79787	gene product	database
Not needed	79039	gene product	Not needed	84116	gene product	database
Not needed	79039	gene product	Not needed	81272	gene product	database
Not needed	79039	gene product	Not needed	80860	gene product	database
Not needed	79039	gene product	Not needed	30925	metabolite	database
Not needed	79039	gene product	Not needed	85211	gene product	database
Not needed	79038	gene product	Not needed	78226	gene product	database
Not needed	79043	gene product	Not needed	79253	gene product	database
Not needed	79043	gene product	Not needed	80928	gene product	database
